,recall_var,recall_mean
0,0.162761466352013,0.6727887554500458
1,0.1033614928839701,0.3642350634138221
2,0.02992594702075325,0.14601769462890127
3,0.006370014953143769,0.05689370334170711
4,0.0009915124849907107,0.022016969864820372
5,0.00015373448992720331,0.009218208460740148
6,5.217891916161544e-05,0.005324022044015981
7,2.7327712382135196e-05,0.0037169659400743443
8,2.0012933624069718e-05,0.003120236004037052
9,1.829677406612699e-05,0.002961313840532364
10,1.803501637568629e-05,0.002934849743299574
11,1.8014121764301052e-05,0.0029327200075166754
